ID,Section,Screen,Segment,Copy Type,Content,Status,Notes,Figma Link,Key,Variables,Condition,File,Line,Storage
1,Navigation,Navigation Rail,,label,Profile,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.stages.profile.label,,,src/scenes/OnboardingFlow.tsx,23,constant
2,Navigation,Navigation Rail,,label,Where you are now,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.stages.profile.sub,,,src/scenes/OnboardingFlow.tsx,23,constant
3,Navigation,Navigation Rail,,label,Goals,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.stages.goals.label,,,src/scenes/OnboardingFlow.tsx,23,constant
4,Navigation,Navigation Rail,,label,Where you're going,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.stages.goals.sub,,,src/scenes/OnboardingFlow.tsx,23,constant
5,Navigation,Navigation Rail,,label,Business,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.stages.business.label,,,src/scenes/OnboardingFlow.tsx,23,constant
6,Navigation,Navigation Rail,,label,How you run your business,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.stages.business.sub,,,src/scenes/OnboardingFlow.tsx,23,constant
7,Navigation,Navigation Rail,,label,Clients,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.stages.clients.label,,,src/scenes/OnboardingFlow.tsx,23,constant
8,Navigation,Navigation Rail,,label,How you work,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.stages.clients.sub,,,src/scenes/OnboardingFlow.tsx,23,constant
9,Navigation,Navigation Rail,,label,Your plan,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.stages.plan.label,,,src/scenes/OnboardingFlow.tsx,23,constant
10,Welcome,Welcome Intro,,tagline,A plan that makes the most of your time.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=895-3701,onboarding.intro.taglines[0],,,src/ui/WelcomeSequence.tsx,,constant
11,Welcome,Welcome Intro,,tagline,A plan that simplifies your day.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=895-3701,onboarding.intro.taglines[1],,,src/ui/WelcomeSequence.tsx,,constant
12,Welcome,Welcome Intro,,tagline,A plan that stays current as things change.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=895-3701,onboarding.intro.taglines[2],,,src/ui/WelcomeSequence.tsx,,constant
13,Welcome,Welcome Intro,,tagline,A plan that bubbles up what matters most.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=895-3701,onboarding.intro.taglines[3],,,src/ui/WelcomeSequence.tsx,,constant
14,Welcome,Welcome Intro,,tagline,A plan that frees you to focus on clients.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=895-3701,onboarding.intro.taglines[4],,,src/ui/WelcomeSequence.tsx,,constant
15,Welcome,Welcome Intro,,tagline,A plan that powers your growth & ambitions.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=895-3701,onboarding.intro.taglines[5],,,src/ui/WelcomeSequence.tsx,,constant
16,Welcome,Welcome Intro,,headline,You build plans for everyone.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=895-3701,onboarding.intro.line1,,,src/ui/WelcomeSequence.tsx,,inline
17,Welcome,Welcome Intro,,headline,Let's build one for you.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=895-3701,onboarding.intro.line2,,,src/ui/WelcomeSequence.tsx,,inline
18,Welcome,Welcome Intro,,cta,Get started,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=895-3701,onboarding.intro.cta,,,src/ui/WelcomeSequence.tsx,,inline
19,Welcome,Welcome Intro,,label,"Welcome, {advisorName}",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=895-3701,onboarding.intro.greeting,advisorName,,src/ui/WelcomeSequence.tsx,,inline
20,Introduction,Meet Nyla,,headline,"Hi, I'm Nyla and I'm here to support your plan.",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.create-plan.headline,,,src/scenes/OnboardingFlow.tsx,,inline
21,Introduction,Meet Nyla,,body,"We'll use existing insights about your business, along some questions, to create a plan tailored to your practice and clients.",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.create-plan.body1,,,src/scenes/OnboardingFlow.tsx,,inline
22,Introduction,Meet Nyla,,body,"The next few questions help personalize your experience. It takes about 4 minutes, and you can adjust this information at any time.",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.create-plan.body2,,,src/scenes/OnboardingFlow.tsx,,inline
23,Introduction,Meet Nyla,,cta,I'm ready,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2023,onboarding.create-plan.cta,,,src/scenes/OnboardingFlow.tsx,,inline
24,Introduction,Let's Get Started,,headline,Let's help you get where you want to go.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.welcome.headline,,,src/scenes/OnboardingFlow.tsx,,inline
25,Introduction,Let's Get Started,,body,"I'm Nyla. Before we start, I want to learn how you work — your book, your rhythm, what you're trying to build. A few quick questions, then I get out of your way.",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.welcome.body,,,src/scenes/OnboardingFlow.tsx,,inline
26,Introduction,Let's Get Started,,body,Takes about 3 minutes.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.welcome.sub,,,src/scenes/OnboardingFlow.tsx,,inline
27,Introduction,Let's Get Started,,cta,Let's start,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.welcome.cta-primary,,,src/scenes/OnboardingFlow.tsx,,inline
28,Introduction,Let's Get Started,,cta,Skip — just show me the dashboard →,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.welcome.cta-skip,,,src/scenes/OnboardingFlow.tsx,,inline
29,Profile,Profile Review,,headline,Let's start with what we know,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.headline,,,src/scenes/OnboardingFlow.tsx,,inline
30,Profile,Profile Review,,body,"We've already gathered some information about your practice. Take a look, confirm what's correct, and update anything that needs attention.",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.subheadline,,,src/scenes/OnboardingFlow.tsx,,inline
31,Profile,Profile Review,,label,Profile loaded,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.loaded-indicator,,,src/scenes/OnboardingFlow.tsx,,inline
32,Profile,Profile Review,,body,"You seem to have a strong foundation in protection products, with opportunities to build toward a more holistic advice practice. The questions ahead focus on your future goals.",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.analysis,,,src/scenes/OnboardingFlow.tsx,,inline
33,Profile,Profile Review,,cta,Looks good,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cta-primary,,,src/scenes/OnboardingFlow.tsx,,inline
34,Profile,Profile Review,,cta,Something seems wrong,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cta-secondary,,,src/scenes/OnboardingFlow.tsx,,inline
35,Profile,Profile Review,,loading,Connecting to Salesforce…,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.loading[0],,,src/scenes/OnboardingFlow.tsx,,constant
36,Profile,Profile Review,,loading,Reading your production history from Salesforce…,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.loading[1],,,src/scenes/OnboardingFlow.tsx,,constant
37,Profile,Profile Review,,loading,"Pulling product mix from Salesforce, licensing from Sales Central…",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.loading[2],,,src/scenes/OnboardingFlow.tsx,,constant
38,Profile,Profile Review,,loading,Confirming practice structure in Sales Central…,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.loading[3],,,src/scenes/OnboardingFlow.tsx,,constant
39,Profile,Profile Review,,label,Years with New York Life,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.years.label,,,src/scenes/OnboardingFlow.tsx,,constant
40,Profile,Profile Review,,stat,5,draft,Demo value — will be data-driven in production,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.years.value,,,src/scenes/OnboardingFlow.tsx,,constant
41,Profile,Profile Review,,label,Since 2021,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.years.sub,,,src/scenes/OnboardingFlow.tsx,,constant
42,Profile,Profile Review,,label,Council standing,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.council.label,,,src/scenes/OnboardingFlow.tsx,,constant
